name	shape	status	lr	optimizer
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc1.base_layer.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc1.base_layer.bias	8192	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc1.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc1.lora_B.default.weight	8192x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc2.base_layer.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc2.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc2.lora_A.default.weight	64x8192	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.img_mlp.fc2.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mod.linear.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mod.linear.bias	12288	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_q_norm.weight	128	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_k_norm.weight	128	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mlp.fc1.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mlp.fc1.bias	8192	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mlp.fc2.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.txt_mlp.fc2.bias	2048	frozen	-	frozen
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_action_norm.weight	512	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_action_norm.bias	512	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_q.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_q.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_k.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_k.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_v.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_v.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_q_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_k_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_gate.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_gate.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_proj.weight	1024x1024	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_proj.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_mod.weight	12288x1024	trainable	0.0001	muon
transformer.double_blocks.47._checkpoint_wrapped_module.action_xattn_mod.bias	12288	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mod.linear.base_layer.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mod.linear.base_layer.bias	12288	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mod.linear.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mod.linear.lora_B.default.weight	12288x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc1.base_layer.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc1.base_layer.bias	8192	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc1.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc1.lora_B.default.weight	8192x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc2.base_layer.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc2.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc2.lora_A.default.weight	64x8192	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.img_mlp.fc2.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mod.linear.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mod.linear.bias	12288	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_q_norm.weight	128	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_k_norm.weight	128	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mlp.fc1.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mlp.fc1.bias	8192	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mlp.fc2.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.txt_mlp.fc2.bias	2048	frozen	-	frozen
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_action_norm.weight	512	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_action_norm.bias	512	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_q.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_q.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_k.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_k.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_v.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_v.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_q_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_k_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_gate.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_gate.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_proj.weight	1024x1024	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_proj.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_mod.weight	12288x1024	trainable	0.0001	muon
transformer.double_blocks.48._checkpoint_wrapped_module.action_xattn_mod.bias	12288	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mod.linear.base_layer.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mod.linear.base_layer.bias	12288	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mod.linear.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mod.linear.lora_B.default.weight	12288x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc1.base_layer.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc1.base_layer.bias	8192	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc1.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc1.lora_B.default.weight	8192x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc2.base_layer.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc2.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc2.lora_A.default.weight	64x8192	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.img_mlp.fc2.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mod.linear.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mod.linear.bias	12288	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_q_norm.weight	128	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_k_norm.weight	128	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mlp.fc1.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mlp.fc1.bias	8192	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mlp.fc2.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.txt_mlp.fc2.bias	2048	frozen	-	frozen
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_action_norm.weight	512	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_action_norm.bias	512	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_q.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_q.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_k.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_k.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_v.weight	1024x512	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_v.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_q_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_k_norm.weight	128	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_gate.weight	1024x2048	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_gate.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_proj.weight	1024x1024	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_proj.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_mod.weight	12288x1024	trainable	0.0001	muon
transformer.double_blocks.49._checkpoint_wrapped_module.action_xattn_mod.bias	12288	trainable	0.0001	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mod.linear.base_layer.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mod.linear.base_layer.bias	12288	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mod.linear.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mod.linear.lora_B.default.weight	12288x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc1.base_layer.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc1.base_layer.bias	8192	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc1.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc1.lora_B.default.weight	8192x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc2.base_layer.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc2.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc2.lora_A.default.weight	64x8192	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.img_mlp.fc2.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_mod.linear.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_mod.linear.bias	12288	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_q_norm.weight	128	frozen	-	frozen
transformer.double_blocks.50._checkpoint_wrapped_module.txt_attn_k_norm.weight	128	frozen	-	frozen
